,MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,41221,2.560527037,2.560527037,2.560527037,2.560527037,2.560527037,2.472455004,2.465662486,2.472455004,2.472455004,2.472455004,2.560527037,2.560527037,2.560527037,2.472455004,2.472455004,2.472455004,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41222,2.56456399,2.56456399,2.56456399,2.56456399,2.56456399,2.452874233,2.446135509,2.452874233,2.452874233,2.452874233,2.56456399,2.56456399,2.56456399,2.452874233,2.452874233,2.452874233,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41223,2.563720442,2.563720442,2.563720442,2.563720442,2.563720442,2.405061007,2.398453639,2.405061007,2.405061007,2.405061007,2.563720442,2.563720442,2.563720442,2.405061007,2.405061007,2.405061007,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41224,2.56114169,2.56114169,2.56114169,2.56114169,2.56114169,2.399933135,2.393339855,2.399933135,2.399933135,2.399933135,2.56114169,2.56114169,2.56114169,2.399933135,2.399933135,2.399933135,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41301,2.511967612,2.511967612,2.511967612,2.511967612,2.511967612,2.317431734,2.311065108,2.317431734,2.317431734,2.317431734,2.511967612,2.511967612,2.511967612,2.317431734,2.317431734,2.317431734,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41302,2.51107166,2.51107166,2.51107166,2.51107166,2.51107166,2.317754229,2.311386717,2.317754229,2.317754229,2.317754229,2.51107166,2.51107166,2.51107166,2.317754229,2.317754229,2.317754229,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41303,2.510524869,2.510524869,2.510524869,2.510524869,2.510524869,2.320569425,2.314194179,2.320569425,2.320569425,2.320569425,2.510524869,2.510524869,2.510524869,2.320569425,2.320569425,2.320569425,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41304,2.511447118,2.511447118,2.511447118,2.511447118,2.511447118,2.323270238,2.316887572,2.323270238,2.323270238,2.323270238,2.511447118,2.511447118,2.511447118,2.323270238,2.323270238,2.323270238,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41305,2.513081514,2.513081514,2.513081514,2.513081514,2.513081514,2.325189813,2.318801873,2.325189813,2.325189813,2.325189813,2.513081514,2.513081514,2.513081514,2.325189813,2.325189813,2.325189813,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41306,2.514785245,2.514785245,2.514785245,2.514785245,2.514785245,2.35051001,2.344052509,2.35051001,2.35051001,2.35051001,2.514785245,2.514785245,2.514785245,2.35051001,2.35051001,2.35051001,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41307,2.518261787,2.518261787,2.518261787,2.518261787,2.518261787,2.292999198,2.286699694,2.292999198,2.292999198,2.292999198,2.518261787,2.518261787,2.518261787,2.292999198,2.292999198,2.292999198,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41308,2.359249706,2.359249706,2.359249706,2.359249706,2.359249706,0.302006331,0.301691321,0.302006331,0.302006331,0.302006331,2.359249706,2.359249706,2.359249706,0.302006331,0.302006331,0.302006331,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41309,1.084547167,1.084547167,1.084547167,1.084547167,1.084547167,0.010101791,0.010091255,0.010101791,0.010101791,0.010101791,1.084547167,1.084547167,1.084547167,0.010101791,0.010101791,0.010101791,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41318,2.573343606,2.573343606,2.573343606,2.573343606,2.573343606,2.382272944,2.382272944,2.382272944,2.382272944,2.382272944,2.573343606,2.573343606,2.573343606,2.382272944,2.382272944,2.382272944,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41319,2.567990448,2.567990448,2.567990448,2.567990448,2.567990448,2.438528383,2.438528383,2.438528383,2.438528383,2.438528383,2.567990448,2.567990448,2.567990448,2.438528383,2.438528383,2.438528383,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41320,2.583624392,2.583624392,2.583624392,2.583624392,2.583624392,2.419979425,2.417455248,2.419979425,2.419979425,2.419979425,2.583624392,2.583624392,2.583624392,2.419979425,2.419979425,2.419979425,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41321,2.583577467,2.583577467,2.583577467,2.583577467,2.583577467,2.414856224,2.41233739,2.414856224,2.414856224,2.414856224,2.583577467,2.583577467,2.583577467,2.414856224,2.414856224,2.414856224,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41322,2.518715522,2.518715522,2.518715522,2.518715522,2.518715522,2.368131513,2.3616256,2.368131513,2.368131513,2.368131513,2.518715522,2.518715522,2.518715522,2.368131513,2.368131513,2.368131513,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41323,2.517487985,2.517487985,2.517487985,2.517487985,2.517487985,2.338700665,2.332275607,2.338700665,2.338700665,2.338700665,2.517487985,2.517487985,2.517487985,2.338700665,2.338700665,2.338700665,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41324,2.514145684,2.514145684,2.514145684,2.514145684,2.514145684,2.331444499,2.325039376,2.331444499,2.331444499,2.331444499,2.514145684,2.514145684,2.514145684,2.331444499,2.331444499,2.331444499,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41401,2.850796784,2.850796784,2.850796784,2.850796784,2.850796784,2.668053052,2.660723172,2.668053052,2.668053052,2.668053052,2.850796784,2.850796784,2.850796784,2.668053052,2.668053052,2.668053052,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41402,2.848959141,2.848959141,2.848959141,2.848959141,2.848959141,2.669887918,2.662552997,2.669887918,2.669887918,2.669887918,2.848959141,2.848959141,2.848959141,2.669887918,2.669887918,2.669887918,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41403,2.849377478,2.849377478,2.849377478,2.849377478,2.849377478,2.670653546,2.663316522,2.670653546,2.670653546,2.670653546,2.849377478,2.849377478,2.849377478,2.670653546,2.670653546,2.670653546,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41404,2.850046167,2.850046167,2.850046167,2.850046167,2.850046167,2.685761887,2.678383356,2.685761887,2.685761887,2.685761887,2.850046167,2.850046167,2.850046167,2.685761887,2.685761887,2.685761887,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41405,2.852484123,2.852484123,2.852484123,2.852484123,2.852484123,2.715791628,2.708330597,2.715791628,2.715791628,2.715791628,2.852484123,2.852484123,2.852484123,2.715791628,2.715791628,2.715791628,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41406,2.854283515,2.854283515,2.854283515,2.854283515,2.854283515,2.735873201,2.728357,2.735873201,2.735873201,2.735873201,2.854283515,2.854283515,2.854283515,2.735873201,2.735873201,2.735873201,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41407,2.807708303,2.807708303,2.807708303,2.807708303,2.807708303,2.58112072,2.574029667,2.58112072,2.58112072,2.58112072,2.807708303,2.807708303,2.807708303,2.58112072,2.58112072,2.58112072,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41408,1.130748205,1.130748205,1.130748205,1.130748205,1.130748205,0.322709333,0.322372729,0.322709333,0.322709333,0.322709333,1.130748205,1.130748205,1.130748205,0.322709333,0.322709333,0.322709333,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41418,2.885947962,2.885947962,2.885947962,2.885947962,2.885947962,2.82407835,2.82407835,2.82407835,2.82407835,2.82407835,2.885947962,2.885947962,2.885947962,2.82407835,2.82407835,2.82407835,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41419,2.970232159,2.970232159,2.970232159,2.970232159,2.970232159,2.942128612,2.942128612,2.942128612,2.942128612,2.942128612,2.970232159,2.970232159,2.970232159,2.942128612,2.942128612,2.942128612,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41420,2.987667086,2.987667086,2.987667086,2.987667086,2.987667086,2.92953057,2.926474902,2.92953057,2.92953057,2.92953057,2.987667086,2.987667086,2.987667086,2.92953057,2.92953057,2.92953057,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41421,2.987562511,2.987562511,2.987562511,2.987562511,2.987562511,2.93030447,2.927247994,2.93030447,2.93030447,2.93030447,2.987562511,2.987562511,2.987562511,2.93030447,2.93030447,2.93030447,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41422,2.856074062,2.856074062,2.856074062,2.856074062,2.856074062,2.824265299,2.81650626,2.824265299,2.824265299,2.824265299,2.856074062,2.856074062,2.856074062,2.824265299,2.824265299,2.824265299,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41423,2.854983882,2.854983882,2.854983882,2.854983882,2.854983882,2.806051945,2.798342944,2.806051945,2.806051945,2.806051945,2.854983882,2.854983882,2.854983882,2.806051945,2.806051945,2.806051945,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41424,2.851611159,2.851611159,2.851611159,2.851611159,2.851611159,2.801212537,2.793516831,2.801212537,2.801212537,2.801212537,2.851611159,2.851611159,2.851611159,2.801212537,2.801212537,2.801212537,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41501,2.354074728,2.354074728,2.354074728,2.354074728,2.354074728,2.270743608,2.264505247,2.270743608,2.270743608,2.270743608,2.354074728,2.354074728,2.354074728,2.270743608,2.270743608,2.270743608,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41502,2.352430961,2.352430961,2.352430961,2.352430961,2.352430961,2.251841797,2.245655365,2.251841797,2.251841797,2.251841797,2.352430961,2.352430961,2.352430961,2.251841797,2.251841797,2.251841797,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41503,2.351420705,2.351420705,2.351420705,2.351420705,2.351420705,2.252506096,2.246317838,2.252506096,2.252506096,2.252506096,2.351420705,2.351420705,2.351420705,2.252506096,2.252506096,2.252506096,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41504,2.351930809,2.351930809,2.351930809,2.351930809,2.351930809,2.254542303,2.248348452,2.254542303,2.254542303,2.254542303,2.351930809,2.351930809,2.351930809,2.254542303,2.254542303,2.254542303,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41505,2.354378655,2.354378655,2.354378655,2.354378655,2.354378655,2.320738459,2.314362748,2.320738459,2.320738459,2.320738459,2.354378655,2.354378655,2.354378655,2.320738459,2.320738459,2.320738459,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41506,2.355573774,2.355573774,2.355573774,2.355573774,2.355573774,2.32137551,2.314998049,2.32137551,2.32137551,2.32137551,2.355573774,2.355573774,2.355573774,2.32137551,2.32137551,2.32137551,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41507,2.365158414,2.365158414,2.365158414,2.365158414,2.365158414,2.238239545,2.232090481,2.238239545,2.238239545,2.238239545,2.365158414,2.365158414,2.365158414,2.238239545,2.238239545,2.238239545,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41508,0.968023204,0.968023204,0.968023204,0.968023204,0.968023204,0.15877534,0.158609728,0.15877534,0.15877534,0.15877534,0.968023204,0.968023204,0.968023204,0.15877534,0.15877534,0.15877534,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,41512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
