;,,,,,,,,,,,,,
TABLE OffMedCECStd22030012TrmlUnit,,,,,,,,,,,,,
PerimeterBottom4ReheatCoil,BaseVAVBox CoilHtg-5,HotWater,BaseAirSys5,Perimeter_bot_ZN_4 Thermal Zone,28619.275,28619.275,1.43042,-99996,-99996,,,,
CoreMidReheatCoil,BaseVAVBox CoilHtg-6,HotWater,BaseAirSys5-2,Core_mid Thermal Zone,77361.412,77361.412,3.8666,-99996,-99996,,,,
PerimeterMid1ReheatCoil,BaseVAVBox CoilHtg-7,HotWater,BaseAirSys5-2,Perimeter_mid_ZN_1 Thermal Zone,47452.675,47452.675,2.37173,-99996,-99996,,,,
PerimeterMid2ReheatCoil,BaseVAVBox CoilHtg-8,HotWater,BaseAirSys5-2,Perimeter_mid_ZN_2 Thermal Zone,31181.712,31181.712,1.55849,-99996,-99996,,,,
PerimeterMid3ReheatCoil,BaseVAVBox CoilHtg-9,HotWater,BaseAirSys5-2,Perimeter_mid_ZN_3 Thermal Zone,47413.1,47413.1,2.36975,-99996,-99996,,,,
PerimeterMid4ReheatCoil,BaseVAVBox CoilHtg-10,HotWater,BaseAirSys5-2,Perimeter_mid_ZN_4 Thermal Zone,31154.113,31154.113,1.55711,-99996,-99996,,,,
CoreTopReheatCoil,BaseVAVBox CoilHtg-11,HotWater,BaseAirSys5-3,Core_top Thermal Zone,160311.675,160311.675,8.01254,-99996,-99996,,,,
PerimeterTop1ReheatCoil,BaseVAVBox CoilHtg-12,HotWater,BaseAirSys5-3,Perimeter_top_ZN_1 Thermal Zone,59608.975,59608.975,2.97932,-99996,-99996,,,,
PerimeterTop2ReheatCoil,BaseVAVBox CoilHtg-13,HotWater,BaseAirSys5-3,Perimeter_top_ZN_2 Thermal Zone,39158.412,39158.412,1.95718,-99996,-99996,,,,
PerimeterTop3ReheatCoil,BaseVAVBox CoilHtg-14,HotWater,BaseAirSys5-3,Perimeter_top_ZN_3 Thermal Zone,59554.663,59554.663,2.9766,-99996,-99996,,,,
PerimeterTop4ReheatCoil,BaseVAVBox CoilHtg-15,HotWater,BaseAirSys5-3,Perimeter_top_ZN_4 Thermal Zone,39121.8,39121.8,1.95535,-99996,-99996,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE OffMedCECStd22030012Fan,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,
BottomVAV SupplyFan,BaseSys5 Fan,VariableSpeedDrive,BaseAirSys5,UNDEFINED,13759.911,2681.39,0.65,PowerPerUnitFlow,4.959,16.545,20,InAirStream,0.93
MidVAV SupplyFan,BaseSys5 Fan-2,VariableSpeedDrive,BaseAirSys5-2,UNDEFINED,13628.086,2681.39,0.65,PowerPerUnitFlow,4.959,16.387,20,InAirStream,0.93
TopVAV SupplyFan,BaseSys5 Fan-3,VariableSpeedDrive,BaseAirSys5-3,UNDEFINED,15115.37,2681.39,0.65,PowerPerUnitFlow,4.959,18.175,20,InAirStream,0.93
ENDTABLE,,,,,,,,,,,,,
TABLE OffMedCECStd22030012OACtrl,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,
;,,,,,,,,,,,,,
BottomVAV Economizer,BaseSys5 OACtrl,FixedDryBulb,BaseAirSys5,Integrated,,,,,,,,,
MidVAV OACtrl,BaseSys5 OACtrl-2,FixedDryBulb,BaseAirSys5-2,Integrated,,,,,,,,,
Top VAV OACtrl,BaseSys5 OACtrl-3,FixedDryBulb,BaseAirSys5-3,Integrated,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,
