;,,,,,,,,,,,,,
TABLE OffSmlCECStd22020012STrmlUnit,,,,,,,,,,,,,
Perim4ZnSupplyFan,BaseSys7or3b Fan-5,ConstantVolume,BaseAirSys7or3b-5,n/a,720.308,-99996,0.65,BrakeHorsePower,3.519,0.615,0.75,InAirStream,0.855
ENDTABLE,,,,,,,,,,,,,
TABLE OffSmlCECStd22020012SOACtrl,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,
;,,,,,,,,,,,,,
CoreZnOAControl,BaseSys7or3b OACtrl,NoEconomizer,BaseAirSys7or3b,UNDEFINED,,,,,,,,,
Perime1OAControl,BaseSys7or3b OACtrl-2,NoEconomizer,BaseAirSys7or3b-2,UNDEFINED,,,,,,,,,
Perim2OAControl,BaseSys7or3b OACtrl-3,NoEconomizer,BaseAirSys7or3b-3,UNDEFINED,,,,,,,,,
Perim3 OAControl,BaseSys7or3b OACtrl-4,NoEconomizer,BaseAirSys7or3b-4,UNDEFINED,,,,,,,,,
Perim4 OAControl,BaseSys7or3b OACtrl-5,NoEconomizer,BaseAirSys7or3b-5,UNDEFINED,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,
