; Tables for Std model AutoHardSize capacity look-up rules,,,,,,,,,,,,,
TABLE SchSmlCECStd22010012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
Common_Mech/Elec_SuppCoilHtg,BaseSys7or3b SuppCoilHtg,Resistance,BaseAirSys7h,n/a,11859.537,11859.537,0,-99996,-99996,,,,
Wing1_Side1_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-2,Resistance,BaseAirSys7h-2,n/a,28680.666,28680.666,0,-99996,-99996,,,,
Wing1_Corridor_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-3,Resistance,BaseAirSys7h-3,n/a,28255.825,28255.825,0,-99996,-99996,,,,
Wing1_Side2_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-4,Resistance,BaseAirSys7h-4,n/a,25881.734,25881.734,0,-99996,-99996,,,,
Common_Lobby_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-5,Resistance,BaseAirSys7h-5,n/a,14430.85,14430.85,0,-99996,-99996,,,,
Common_Corridor_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-6,Resistance,BaseAirSys7h-6,n/a,28346.887,28346.887,0,-99996,-99996,,,,
Wing2_Side1_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-7,Resistance,BaseAirSys7h-7,n/a,28455.353,28455.353,0,-99996,-99996,,,,
Wing2_Corridor_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-8,Resistance,BaseAirSys7h-8,n/a,28350.825,28350.825,0,-99996,-99996,,,,
Wing2_Side2_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-9,Resistance,BaseAirSys7h-9,n/a,26001.609,26001.609,0,-99996,-99996,,,,
Common_Office_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-10,Resistance,BaseAirSys7h-10,n/a,48305.688,48305.688,0,-99996,-99996,,,,
Common_Cafeteria_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-11,Resistance,BaseAirSys7h-11,n/a,121986.15,121986.15,0,-99996,-99996,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE SchSmlCECStd22010012Fan,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,
Common_Mech/Elec_Fan,BaseSys7or3b Fan,ConstantVolume,BaseAirSys7h,n/a,551.948,-99996,0.65,PowerPerUnitFlow,3.519,0.471,0.5,InAirStream,0.855
Wing1_Side1_Fan,BaseSys7or3b Fan-2,ConstantVolume,BaseAirSys7h-2,n/a,912.914,-99996,0.65,PowerPerUnitFlow,3.519,0.779,1,InAirStream,0.855
Wing1_Corridor_Fan,BaseSys7or3b Fan-3,ConstantVolume,BaseAirSys7h-3,n/a,980.646,-99996,0.65,PowerPerUnitFlow,3.519,0.837,1,InAirStream,0.855
Wing1_Side2_Fan,BaseSys7or3b Fan-4,ConstantVolume,BaseAirSys7h-4,n/a,729.025,-99996,0.65,PowerPerUnitFlow,3.519,0.622,0.75,InAirStream,0.855
Common_Lobby_Fan,BaseSys7or3b Fan-5,ConstantVolume,BaseAirSys7h-5,n/a,602.982,-99996,0.65,PowerPerUnitFlow,3.519,0.514,0.75,InAirStream,0.855
Common_Corridor_Fan,BaseSys7or3b Fan-6,ConstantVolume,BaseAirSys7h-6,n/a,983.578,-99996,0.65,PowerPerUnitFlow,3.519,0.839,1,InAirStream,0.855
Wing2_Side1_Fan,BaseSys7or3b Fan-7,ConstantVolume,BaseAirSys7h-7,n/a,898.19,-99996,0.65,PowerPerUnitFlow,3.519,0.766,1,InAirStream,0.855
Wing2_Corridor_Fan,BaseSys7or3b Fan-8,ConstantVolume,BaseAirSys7h-8,n/a,986.841,-99996,0.65,PowerPerUnitFlow,3.519,0.842,1,InAirStream,0.855
Wing2_Side2_Fan,BaseSys7or3b Fan-9,ConstantVolume,BaseAirSys7h-9,n/a,736.869,-99996,0.65,PowerPerUnitFlow,3.519,0.629,0.75,InAirStream,0.855
Common_Office_Fan,BaseSys7or3b Fan-10,ConstantVolume,BaseAirSys7h-10,n/a,2051.5,-99996,0.65,PowerPerUnitFlow,3.56,1.771,2,InAirStream,0.865
Common_Cafeteria_Fan,BaseSys7or3b Fan-11,VariableSpeedDrive,BaseAirSys7h-11,n/a,3237.762,1618.881,0.65,PowerPerUnitFlow,3.684,2.892,3,InAirStream,0.895
ENDTABLE,,,,,,,,,,,,,
TABLE SchSmlCECStd22010012OACtrl,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,
;,,,,,,,,,,,,,
Common_Mech/Elec_OACtrl,BaseSys7or3b OACtrl,NoEconomizer,BaseAirSys7h,UNDEFINED,,,,,,,,,
Wing1_Side1_OACtrl,BaseSys7or3b OACtrl-2,NoEconomizer,BaseAirSys7h-2,UNDEFINED,,,,,,,,,
Wing1_Corridor_OACtrl,BaseSys7or3b OACtrl-3,NoEconomizer,BaseAirSys7h-3,UNDEFINED,,,,,,,,,
Wing1_Side2_OACtrl,BaseSys7or3b OACtrl-4,NoEconomizer,BaseAirSys7h-4,UNDEFINED,,,,,,,,,
Common_Lobby_OACtrl,BaseSys7or3b OACtrl-5,NoEconomizer,BaseAirSys7h-5,UNDEFINED,,,,,,,,,
Common_Corridor_OACtrl,BaseSys7or3b OACtrl-6,FixedDryBulb,BaseAirSys7h-6,Integrated,,,,,,,,,
Wing2_Side1_OACtrl,BaseSys7or3b OACtrl-7,NoEconomizer,BaseAirSys7h-7,UNDEFINED,,,,,,,,,
Wing2_Corridor_OACtrl,BaseSys7or3b OACtrl-8,NoEconomizer,BaseAirSys7h-8,UNDEFINED,,,,,,,,,
Wing2_Side2_OACtrl,BaseSys7or3b OACtrl-9,NoEconomizer,BaseAirSys7h-9,UNDEFINED,,,,,,,,,
Common_Office_OACtrl,BaseSys7or3b OACtrl-10,FixedDryBulb,BaseAirSys7h-10,Integrated,,,,,,,,,
Common_Cafeteria_OACtrl,BaseSys7or3b OACtrl-11,FixedDryBulb,BaseAirSys7h-11,Integrated,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,
